datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:05.2,0.203895375,-0.13667272,0.410675406,-0.052490234,0.083251953,0.873779297,-5618.354492,2824.130371,5757.306152,0,0
37:05.4,0.159197927,0.018172039,-0.21668531,-0.033935547,-0.040039063,0.879150391,-5610.124023,2827.13623,5754.96875,0,0
37:05.6,-0.330345631,0.487495303,0.302656561,-0.024902344,-0.082763672,1.105712891,-5615.404297,2828.126465,5754.165527,28,0
37:05.8,-0.507007003,0.340100139,-0.088446185,-0.213378906,0.009033203,1.122314453,-5622.788086,2826.392822,5755.929688,28,0
37:06.0,-0.344712675,0.177273691,-0.069822244,-0.33203125,-0.199951172,1.287597656,-5641.458984,2822.505859,5759.246582,28,0
37:06.2,0.841366231,-0.2335172,0.061077446,-0.227539063,-0.066162109,1.309814453,-5641.386719,2820.659912,5760.323242,28,0
37:06.4,0.659383714,-0.21808593,0.358528376,-0.200195313,0.007080078,1.076171875,-5629.391602,2826.32373,5755.561523,28,0
37:06.6,-0.127078637,-0.01056204,-0.315658242,-0.043457031,0.081787109,0.690185547,-5620.424316,2828.762207,5753.743652,28,0
37:06.8,-0.036538474,0.067720681,0.000105258,-0.21484375,-0.087890625,0.837646484,-5618.71582,2826.29248,5754.822266,28,0
37:07.0,0.414692968,-0.303693861,0.020325534,-0.211914063,0.185302734,0.789306641,-5613.87793,2825.346191,5757.224121,28,0
37:07.2,0.064562909,-0.238244027,0.560951889,0.004150391,0.243164063,0.9375,-5613.572266,2825.09375,5757.766113,28,0
37:07.4,0.329460919,-0.290907383,-0.606505573,-0.009033203,-0.105712891,0.841064453,-5603.720215,2827.420654,5756.140625,28,0
37:07.6,0.149754629,0.204923242,0.008790213,-0.084472656,-0.171142578,0.926025391,-5606.44043,2828.377686,5754.45166,32,0
37:07.8,-0.427587479,0.56143868,0.032203164,-0.028076172,-0.091064453,1.020507813,-5610.1875,2828.451172,5754.101563,32,0
37:08.0,-0.734616399,0.34593305,-0.076347798,-0.155517578,-0.026367188,1.166015625,-5616.299805,2826.212891,5757.164551,32,1
37:08.2,-0.091824464,-0.027077839,0.046038091,-0.295166016,-0.17578125,1.366943359,-5632.161621,2822.05542,5760.152832,32,1
37:08.4,0.850546896,-0.185647368,-0.339211404,-0.187744141,-0.163574219,1.200195313,-5632.033203,2823.29541,5759.004883,32,1
37:08.6,0.206158549,-0.214913577,0.3014521,-0.142333984,-0.029541016,0.987792969,-5627.261719,2827.601807,5755.259277,34,1
37:08.8,-0.1567422,-0.014307138,-0.238110021,-0.037841797,0.015869141,0.875,-5616.817871,2829.715088,5754.921387,34,1
37:09.0,-0.254650891,0.208648026,0.139157787,-0.034667969,0.102050781,0.786865234,-5616.005859,2825.816895,5756.784668,34,1
37:09.2,-0.214210361,0.14053762,-0.230660439,-0.112548828,0.126464844,0.913818359,-5618.151367,2823.312988,5758.015625,34,1
37:09.4,0.093805656,-0.068007343,0.14143075,-0.140869141,0.125,0.877929688,-5619.661133,2820.476318,5759.404297,34,1
37:09.6,0.330870658,-0.074678294,0.153914154,-0.052490234,0.13671875,0.813720703,-5617.222656,2826.078613,5757.488281,48,1
37:09.8,0.068007044,0.038129564,0.156042606,-0.103759766,0.018066406,1.094482422,-5616.444824,2828.596191,5753.722656,48,1
37:10.0,-0.115571782,0.172221929,-0.066912554,-0.140869141,-0.040527344,1.070800781,-5620.524414,2828.993896,5752.862793,48,1
37:10.2,-0.649812758,0.172754034,-0.133958727,-0.151123047,0.024169922,1.017822266,-5628.8125,2828.536621,5754.316406,48,1
37:10.4,-0.438564092,0.017909285,0.088996425,-0.231933594,-0.102539063,1.388183594,-5632.852539,2824.665283,5757.388672,48,1
37:10.6,0.708371699,-0.06677556,-0.456768334,-0.159912109,-0.043701172,1.226318359,-5635.233887,2825.343262,5758.449707,48,1
37:10.8,0.640793443,-0.337088734,0.65534687,-0.157470703,-0.106201172,0.999511719,-5638.612305,2825.229736,5755.815918,48,1
37:11.0,-0.260073096,-0.251950711,0.410575122,-0.03515625,0.099609375,0.960693359,-5619.336914,2829.201172,5753.495605,48,1
37:11.2,-0.313816458,-0.040169928,-0.364712864,-0.1640625,0.076660156,0.890869141,-5608.760742,2827.387939,5756.151855,48,1
37:11.4,-0.411193073,-0.180647641,0.078004755,-0.116699219,0.203857422,0.987792969,-5607.209961,2824.822021,5758.716309,48,1
37:11.6,-0.128438249,-0.103363119,0.077284485,-0.078125,0.135986328,0.909179688,-5607.54248,2823.648682,5759.253418,59,1
