datetime,BPM,label
2018-02-28 17:55:18,141,1
2018-02-28 17:55:19,104,1
2018-02-28 17:55:20,95,1
2018-02-28 17:55:21,87,1
2018-02-28 17:55:22,78,1
2018-02-28 17:55:23,73,1
2018-02-28 17:55:24,70,1
2018-02-28 17:55:25,70,1
2018-02-28 17:55:26,70,1
2018-02-28 17:55:27,0,1
2018-02-28 17:55:28,0,1
2018-02-28 17:55:29,28,1
2018-02-28 17:55:30,29,1
2018-02-28 17:55:31,31,1
2018-02-28 17:55:32,31,1
2018-02-28 17:55:33,31,1
2018-02-28 17:55:34,0,1
2018-02-28 17:55:35,184,1
2018-02-28 17:57:56,0,0
2018-02-28 17:57:57,0,0
2018-02-28 17:57:58,37,0
2018-02-28 17:57:59,38,0
2018-02-28 17:58:00,41,0
2018-02-28 17:58:01,55,0
2018-02-28 17:58:02,69,0
2018-02-28 17:58:03,128,0
2018-02-28 17:58:04,150,0
2018-02-28 17:58:05,151,0
2018-02-28 17:58:06,157,0
2018-02-28 17:58:07,135,0
2018-02-28 17:58:08,139,0
2018-02-28 17:58:10,155,0
2018-02-28 17:58:11,130,0
2018-02-28 17:58:12,135,0
2018-02-28 17:58:13,128,0
2018-02-28 17:58:14,128,0
2018-02-28 17:58:15,118,0
2018-02-28 17:58:16,125,0
2018-02-28 17:58:17,129,0
2018-02-28 17:58:18,124,0
2018-02-28 17:58:19,116,0
2018-02-28 17:58:20,109,0
2018-02-28 17:58:21,121,0
2018-02-28 17:58:22,134,0
2018-02-28 17:58:23,119,0
2018-02-28 17:58:24,112,0
2018-02-28 17:58:25,101,0
2018-02-28 17:58:26,100,0
2018-02-28 17:58:27,102,0
2018-02-28 17:58:28,119,0
2018-02-28 17:58:29,171,0
2018-02-28 17:58:30,166,1
2018-02-28 17:58:31,174,1
2018-02-28 17:58:32,168,1
2018-02-28 17:58:33,121,1
2018-02-28 17:58:34,112,1
2018-02-28 17:58:35,106,1
2018-02-28 17:58:36,110,1
2018-02-28 17:58:37,110,1
2018-02-28 17:58:38,80,1
2018-02-28 17:58:39,80,1
2018-02-28 17:58:40,69,1
2018-02-28 17:58:41,69,1
2018-02-28 17:58:42,77,1
2018-02-28 17:58:43,70,1
2018-02-28 17:58:44,67,1
2018-02-28 17:58:45,66,1
2018-02-28 17:58:46,66,1
2018-02-28 17:58:47,0,1
2018-02-28 17:58:48,180,1
2018-02-28 17:58:49,150,1
2018-02-28 17:58:50,153,1
2018-02-28 17:58:51,148,1
2018-02-28 17:58:52,172,1
2018-02-28 17:58:53,156,1
2018-02-28 17:58:54,153,1
2018-03-01 13:23:57,0,0
2018-03-01 13:23:58,0,0
2018-03-01 13:23:59,51,0
2018-03-01 13:24:00,57,0
2018-03-01 13:24:01,65,0
2018-03-01 13:24:02,65,0
2018-03-01 13:24:03,60,0
2018-03-01 13:24:04,60,0
2018-03-01 13:24:05,60,0
2018-03-01 13:24:06,56,0
2018-03-01 13:24:07,56,0
2018-03-01 13:24:08,56,0
2018-03-01 13:24:09,59,0
2018-03-01 13:24:10,59,0
2018-03-01 13:24:11,59,0
2018-03-01 13:24:12,0,0
2018-03-01 13:24:13,0,0
2018-03-01 13:24:14,0,0
2018-03-01 13:24:15,0,0
2018-03-01 13:24:16,0,0
2018-03-01 13:24:17,0,0
2018-03-01 13:24:18,0,0
2018-03-01 13:24:19,29,0
2018-03-01 13:24:20,29,0
2018-03-01 13:24:21,33,0
2018-03-01 13:24:22,36,0
2018-03-01 13:24:23,49,0
2018-03-01 13:24:24,49,1
2018-03-01 13:24:25,50,1
2018-03-01 13:24:26,54,1
2018-03-01 13:24:27,60,1
2018-03-01 13:24:28,67,1
2018-03-01 13:24:29,74,1
2018-03-01 13:24:30,78,1
2018-03-01 13:24:31,98,1
2018-03-01 13:24:32,120,1
2018-03-01 13:24:33,152,1
2018-03-01 13:24:34,158,1
2018-03-01 13:24:35,158,1
2018-03-01 13:24:36,0,1
2018-03-01 13:24:37,238,1
2018-03-01 13:24:38,238,1
2018-03-01 13:24:39,0,1
2018-03-01 13:24:40,169,1
2018-03-01 13:24:41,170,1
2018-03-01 13:24:42,170,1
2018-03-01 13:24:43,127,1
2018-03-01 13:24:44,113,1
2018-03-01 13:24:45,96,1
2018-03-01 13:24:46,98,1
2018-03-01 13:24:47,93,1
2018-03-01 13:24:48,126,1
2018-03-01 13:24:49,162,1
2018-03-01 13:24:50,149,1
2018-03-01 13:24:51,174,1
2018-03-01 13:24:52,153,1
2018-03-01 13:24:53,146,1
2018-03-01 13:24:54,129,1
2018-03-01 13:24:55,144,1
2018-03-01 13:24:56,155,1
2018-03-01 13:26:41,0,0
2018-03-01 13:26:42,0,0
2018-03-01 13:26:43,37,0
2018-03-01 13:26:44,37,0
2018-03-01 13:26:45,40,0
2018-03-01 13:26:46,48,0
2018-03-01 13:26:47,57,0
2018-03-01 13:26:48,57,0
2018-03-01 13:26:49,57,0
2018-03-01 13:26:50,0,0
2018-03-01 13:26:51,51,0
2018-03-01 13:26:52,53,0
2018-03-01 13:26:53,53,0
2018-03-01 13:26:54,60,0
2018-03-01 13:26:55,66,0
2018-03-01 13:26:56,63,0
2018-03-01 13:26:57,65,0
2018-03-01 13:26:58,74,0
2018-03-01 13:26:59,78,0
2018-03-01 13:27:00,84,0
2018-03-01 13:27:01,86,0
2018-03-01 13:27:02,96,0
2018-03-01 13:27:03,111,0
2018-03-01 13:27:04,121,0
2018-03-01 13:27:05,128,0
2018-03-01 13:27:06,128,0
2018-03-01 13:27:07,128,0
2018-03-01 13:27:08,0,0
2018-03-01 13:27:09,0,0
2018-03-01 13:27:10,0,0
2018-03-01 13:27:11,0,1
2018-03-01 13:27:12,0,1
2018-03-01 13:27:13,0,1
2018-03-01 13:27:14,118,1
2018-03-01 13:27:15,118,1
2018-03-01 13:27:16,118,1
2018-03-01 13:27:17,0,1
2018-03-01 13:27:18,113,1
2018-03-01 13:27:19,117,1
2018-03-01 13:27:20,110,1
2018-03-01 13:27:21,100,1
2018-03-01 13:27:22,101,1
2018-03-01 13:27:23,102,1
2018-03-01 13:27:24,103,1
2018-03-01 13:27:25,123,1
2018-03-01 13:27:26,143,1
2018-03-01 13:27:27,155,1
2018-03-01 13:27:28,140,1
2018-03-01 13:27:29,140,1
2018-03-01 13:27:30,110,1
2018-03-01 13:27:31,105,1
2018-03-01 13:27:32,101,1
2018-03-01 13:27:33,99,1
2018-03-01 13:27:34,104,1
2018-03-01 13:27:35,120,1
2018-03-01 13:27:36,120,1
2018-03-01 13:27:37,0,1
2018-03-01 13:27:38,207,1
2018-03-01 13:27:39,179,1
2018-03-01 13:27:40,176,1
2018-03-01 13:27:41,183,1
2018-03-01 13:27:42,214,1
2018-03-01 13:27:43,189,1
2018-03-01 13:27:44,174,1
2018-03-01 13:27:45,152,1
2018-03-01 13:27:46,140,1
2018-03-01 13:27:47,145,1
2018-03-01 13:27:48,170,1
2018-03-01 13:27:49,181,1
2018-03-01 13:27:50,156,1
2018-03-01 13:27:51,155,1
2018-03-01 13:27:52,171,1
2018-03-01 13:27:53,206,1
2018-03-01 13:28:29,0,0
2018-03-01 13:28:30,0,0
2018-03-01 13:28:31,0,0
2018-03-01 13:28:32,35,0
2018-03-01 13:28:33,36,0
2018-03-01 13:28:34,36,0
2018-03-01 13:28:35,0,0
2018-03-01 13:28:36,82,0
2018-03-01 13:28:37,85,0
2018-03-01 13:28:38,85,0
2018-03-01 13:28:39,91,0
2018-03-01 13:28:40,100,0
2018-03-01 13:28:41,98,0
2018-03-01 13:28:42,110,0
2018-03-01 13:28:43,108,0
2018-03-01 13:28:44,115,0
2018-03-01 13:28:45,109,0
2018-03-01 13:28:46,104,0
2018-03-01 13:28:47,102,0
2018-03-01 13:28:48,108,0
